epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,164367,1.42596,1.569,1.94308,0.82086,0.83784,0.84977,0.51041,1.56021,1.18899,2.2335,0.0004358,0.0004358,0.0004358
160,164623,1.66338,1.37521,2.10187,0.84682,0.72973,0.84899,0.51103,1.57518,1.1719,2.26172,0.0004259,0.0004259,0.0004259
161,164873,1.41169,1.32691,1.89515,0.84682,0.72973,0.84899,0.51103,1.57518,1.1719,2.26172,0.000416,0.000416,0.000416
162,165121,1.7013,1.42076,2.25771,0.87454,0.75369,0.86599,0.51775,1.58292,1.16563,2.2954,0.0004061,0.0004061,0.0004061
163,165373,1.64947,1.39132,2.11852,0.96061,0.78378,0.87941,0.51026,1.59652,1.19515,2.30197,0.0003962,0.0003962,0.0003962
164,165631,1.56384,1.31966,2.00728,0.96061,0.78378,0.87941,0.51026,1.59652,1.19515,2.30197,0.0003863,0.0003863,0.0003863
165,165880,1.59149,1.36899,2.02124,0.96655,0.78102,0.85566,0.49484,1.63967,1.18943,2.31795,0.0003764,0.0003764,0.0003764
166,166131,1.57985,1.50184,2.03897,0.94539,0.78378,0.88553,0.51359,1.64572,1.12838,2.30368,0.0003665,0.0003665,0.0003665
167,166382,1.65767,1.64009,2.04709,0.94539,0.78378,0.88553,0.51359,1.64572,1.12838,2.30368,0.0003566,0.0003566,0.0003566
168,166638,1.67363,1.27578,2.00153,0.9433,0.78378,0.90258,0.54381,1.61996,1.07561,2.26805,0.0003467,0.0003467,0.0003467
169,166888,1.57786,1.37752,2.03868,0.87937,0.78817,0.87985,0.52364,1.58085,1.08416,2.23132,0.0003368,0.0003368,0.0003368
170,167139,1.60625,1.93244,2.0805,0.87937,0.78817,0.87985,0.52364,1.58085,1.08416,2.23132,0.0003269,0.0003269,0.0003269
171,167410,1.46011,1.38226,1.84546,0.82455,0.78378,0.84462,0.51802,1.54605,1.11992,2.20307,0.000317,0.000317,0.000317
172,167664,1.57318,1.39351,2.00033,0.82455,0.78378,0.84462,0.51802,1.54605,1.11992,2.20307,0.0003071,0.0003071,0.0003071
173,167916,1.70063,1.49322,2.1715,0.80926,0.91738,0.85286,0.53291,1.53853,1.09445,2.18342,0.0002972,0.0002972,0.0002972
174,168167,1.77419,1.56311,2.1702,0.81406,0.86486,0.84269,0.531,1.53144,1.08265,2.18231,0.0002873,0.0002873,0.0002873
